,City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
478,Taywarah,68,92,33.35,64.42,39.18,4.72
479,Torbat-e Jam,80,97,35.24,60.63,45.75,7.4
480,Kerman,0,45,30.29,57.06,42.8,4.7
481,Kruisfontein,80,88,-34.0,24.73,66.0,11.99
482,Okha,64,96,53.59,142.95,21.99,13.67
483,Sovetskoye,0,89,45.57,34.49,31.17,7.85
484,San Roque,75,87,0.3,-78.23,59.0,2.24
485,Marawi,80,71,8.0,124.29,82.99,8.99
486,Mackay,20,38,53.65,-115.58,41.0,5.82
487,San Vicente,8,73,13.64,-88.78,77.0,2.24
488,Udachnyy,64,82,66.42,112.4,25.59,3.38
489,Kerouane,0,31,12.23,-12.34,89.6,2.24
490,Amapa,20,83,15.09,-87.97,73.4,4.7
491,Sanmenxia,80,36,34.77,111.19,60.6,9.64
492,Aksha,68,44,50.28,113.29,27.12,3.94
493,Vossevangen,92,92,60.63,6.42,44.01,1.01
494,Bilibino,0,65,68.06,166.44,9.75,3.15
495,Omsukchan,48,77,62.53,155.8,9.03,11.99
496,Santa Marta,40,69,11.24,-74.21,82.4,16.11
497,Rabo de Peixe,40,76,37.8,-25.58,55.4,6.93
498,Pratapgarh,0,71,25.92,82.0,80.04,4.5
499,Ternate,20,55,14.29,120.72,89.6,11.41
500,Ploemeur,0,86,47.73,-3.43,46.0,6.93
501,Ust-Maya,0,58,60.42,134.54,20.91,3.71
502,Mao,75,94,19.55,-71.08,73.4,3.04
503,Singapore,75,70,1.29,103.85,90.0,10.29
504,Ketchikan,1,46,55.34,-131.65,53.6,3.36
505,Alice Springs,0,22,-23.7,133.88,89.6,13.87
506,Ostrovnoy,32,86,68.05,39.51,30.36,16.91
507,Elizabeth City,1,75,36.3,-76.22,51.01,3.36
508,Beidao,0,76,34.57,105.89,47.91,4.27
509,Sinnamary,88,94,5.38,-52.96,80.22,13.22
510,Tocopilla,20,100,-22.09,-70.2,61.95,0.81
511,Fairbanks,90,65,64.84,-147.72,41.0,8.05
512,Anadyr,0,78,64.73,177.51,14.0,8.95
513,Inhambane,0,100,-23.87,35.38,72.39,5.5
514,Cabo San Lucas,5,38,22.89,-109.91,75.2,11.41
515,Hervey Bay,90,83,-25.3,152.85,84.0,9.17
516,Loukhi,88,89,66.08,33.04,39.54,11.88
517,Serebryanyy Bor,20,54,56.8,124.8,17.13,4.61
518,Veraval,0,93,49.65,0.71,42.8,9.17
519,Price,20,29,39.6,-110.81,50.0,5.82
520,Huancavelica,92,100,-12.79,-74.97,42.51,2.71
521,Ambulu,80,100,-8.35,113.61,81.21,3.94
522,Hamilton,90,82,32.3,-64.78,66.2,17.22
523,Porciuncula,92,98,-20.96,-42.04,66.81,3.15
524,Purnia,0,47,25.78,87.47,83.37,8.19
525,Kisangani,48,84,0.52,25.21,76.8,1.81
526,Khandyga,0,54,62.65,135.58,19.02,3.04
527,Nguruka,56,95,-5.11,31.04,66.9,3.6
528,Benicarlo,0,57,40.42,0.43,46.0,3.38
529,Richards Bay,12,85,-28.77,32.06,69.78,5.73
530,Amalapuram,40,58,16.58,82.0,86.0,5.82
531,Graaff-Reinet,0,78,-32.25,24.53,47.46,1.92
532,Bundaberg,90,83,-24.87,152.35,84.0,9.17
533,Samarai,48,100,-10.62,150.67,82.56,11.77
534,Talcahuano,90,82,-36.72,-73.12,57.2,4.7
535,Yumen,8,50,40.29,97.04,39.27,6.51
536,Kijang,40,55,35.24,129.21,62.6,8.05
537,Vega de Alatorre,0,91,20.03,-96.65,65.01,5.06
538,Karasburg,0,49,-28.01,18.75,56.73,2.93
